OBJECTID,FMR_0BDR,FMR_1BDR,FMR_2BDR,FMR_3BDR,FMR_4BDR,FMR_AREANAME,FMR_CODE,FMR_4PLUSBDR,Shape__Area,Shape__Length
1278,472,518,651,820,898,"Issaquena County, MS",NCNTY28055N28055,898,1620637547.17188,349295.701860984
1279,472,550,651,844,945,"Itawamba County, MS",NCNTY28057N28057,945,2055226758.96875,182760.328202989
1280,529,580,729,916,1005,"Jasper County, MS",NCNTY28061N28061,1005,2448259688.57813,198780.33010038
1281,436,544,679,900,1031,"Lee County, IA",NCNTY19111N19111,1031,2426646133.26953,249521.066747332
1282,480,533,705,883,953,"Louisa County, IA",NCNTY19115N19115,953,1912929464.44922,219048.014354454
1283,553,577,763,956,1031,"Lucas County, IA",NCNTY19117N19117,1031,1978989815.48828,179691.576041205
1284,523,526,660,948,1040,"Crisp County, GA",NCNTY13081N13081,1040,1013044301.57227,141687.366957034
1285,501,529,700,1012,1150,"Boundary County, ID",NCNTY16021N16021,1150,7611919609.49219,387690.156266927
1286,501,531,700,1012,1150,"Camas County, ID",NCNTY16025N16025,1150,5306607307.28906,385900.125469829
1287,501,529,700,911,1142,"Caribou County, ID",NCNTY16029N16029,1142,8648724461.57813,510034.062119131
1288,473,527,697,873,944,"Wayne County, IL",NCNTY17191N17191,944,3024438440.85547,221374.726876885
1289,448,529,697,901,1033,"White County, IL",NCNTY17193N17193,1033,2101653538.86719,242189.232380548
1290,501,539,700,942,1150,"Lemhi County, ID",NCNTY16059N16059,1150,23621375025.1836,1116635.66523551
1291,501,579,700,1012,1094,"Lewis County, ID",NCNTY16061N16061,1094,2596534975.17188,332888.848403406
1292,516,586,722,1016,1171,"Lincoln County, ID",NCNTY16063N16063,1171,5842362180.28125,328314.320875395
1293,479,520,688,918,988,"Crawford County, IN",NCNTY18025N18025,988,1300139141.81641,229578.792688622
1294,479,520,688,912,930,"Daviess County, IN",NCNTY18027N18027,930,1860496674.50391,278374.765204551
1295,548,601,788,1020,1065,"Decatur County, IN",NCNTY18031N18031,1065,1617135546.26953,165475.860100767
1296,479,523,688,862,983,"Rush County, IN",NCNTY18139N18139,983,1785239468.94141,170797.810468596
1297,442,520,688,926,981,"Spencer County, IN",NCNTY18147N18147,981,1677776982.34766,242628.479853521
1298,481,522,691,901,1053,"Starke County, IN",NCNTY18149N18149,1053,1433046454.72266,166146.792311156
1299,518,562,744,953,1057,"Steuben County, IN",NCNTY18151N18151,1057,1496627666.08203,155914.769836918
1300,562,576,660,827,1035,"Wilcox County, GA",NCNTY13315N13315,1035,1379455651.08984,196669.083143336
1301,510,562,743,957,1212,"Putnam County, IL",NCNTY17155N17155,1212,788594503.820313,131609.381822909
